,comments,CleanedText
0,Good taste,Good taste
1,"Overall TeaBox Product are goodThe Turmeric Ginger , has only Turmeric flavour standing outThe prices of turmeric and ginger are visible and leaves are longand fresh with bubbles coming the movement we dip in hot water","Overall TeaBox Product are goodThe Turmeric Ginger , has only Turmeric flavour standing outThe prices of turmeric and ginger are visible and leaves are longand fresh with bubbles coming the movement we dip in hot water"
2,"The flavour is very clearly present and the bags are really high quality. The flavour is also real bits of the stuff in the bag, not artificial flavour.","The flavour is very clearly present and the bags are really high quality. The flavour is also real bits of the stuff in the bag, not artificial flavour."
3,Loved it ....,Loved it .
4,The only concern is the tea bag which sounds like polyethylene.,The only concern is the tea bag which sounds like polyethylene.
5,"Batch No.: STP062219This is my first experience of OnlyLeaf Green Tea. The thing I liked the most about this is that they have Whole Leaf. And adding Turmeric, Ginger & Tulsi to Green Tea surely enhances its Goodness greatly. This combination is helpful in Boosting Immune Power and improves our body's defence mechanism. So I appreciate this idea of adding healthy stuff to green tea. One should note that the flavor of this green tea is bland and it doesn't have any taste of the various products added in it. It tastes just like normal green tea. I didn't mind this as overall this tea is very good for health. Also its good that they did not add any Artificial Flavouring substances to make the green tea tasty.PS: OnlyLeaf should make sure that the GLUE they use to attach Thread on Tea bag is EDIBLE & is simply NOT ordinary glue which usually have Dangerous chemicals in it. Or they could simply remove the thread itself as one can easily remove the tea bag with a spoon after its soaking time. Also, as another user pointed out here (https://www.amazon.in/review/R14SVPJ3LY4M5I/ref=cm_cr_srp_d_rdp_perm?ie=UTF8&ASIN=B07D9TB5JG), there should NOT be tea bag cloth coming out of the edges as is the case in my tea bags too.","Batch No.: STP062219This is my first experience of OnlyLeaf Green Tea. The thing I liked the most about this is that they have Whole Leaf. And adding Turmeric, Ginger & Tulsi to Green Tea surely enhances its Goodness greatly. This combination is helpful in Boosting Immune Power and improves our body's defence mechanism. So I appreciate this idea of adding healthy stuff to green tea. One should note that the flavor of this green tea is bland and it doesn't have any taste of the various products added in it. It tastes just like normal green tea. I didn't mind this as overall this tea is very good for health. Also its good that they did not add any Artificial Flavouring substances to make the green tea tasty. PS: OnlyLeaf should make sure that the GLUE they use to attach Thread on Tea bag is EDIBLE & is simply NOT ordinary glue which usually have Dangerous chemicals in it. Or they could simply remove the thread itself as one can easily remove the tea bag with a spoon after its soaking time. Also, as another user pointed out here (https://www. amazon. in/review/R14SVPJ3LY4M5I/ref=cm_cr_srp_d_rdp_perm. ie=UTF8&ASIN=B07D9TB5JG), there should NOT be tea bag cloth coming out of the edges as is the case in my tea bags too."
6,"See, if you go on flavour you will never enjoy benefit of these green highly antioxidant and inflammatory which provides to our body.Before writing this review, after 1cup poured with this natural tea, after some seconds, you will warmness is generated within you body first you will observe it with you mind and then little bit in face its good for cells our body cells are made of natural, so they should be feeded with natural things right.So highly recommended and enjoy benefit.","See, if you go on flavour you will never enjoy benefit of these green highly antioxidant and inflammatory which provides to our body. Before writing this review, after 1cup poured with this natural tea, after some seconds, you will warmness is generated within you body first you will observe it with you mind and then little bit in face its good for cells our body cells are made of natural, so they should be feeded with natural things right. So highly recommended and enjoy benefit."
7,The best green tea I have ever had in my life,The best green tea I have ever had in my life
8,Good,Good
9,"Amongst the several other brands that I have tried, Only leaf really stands out in terms of taste, user experience, presentation, packaging, and overall branding. There is a really intense taste to the tea, it leaves a very underlying sweet taste in your mouth. The package is so cute! Even the shape of the tea bag is such that it doesn't float above the water, it sinks perfectly. I have tried a lot of flavors, each one is really natural and raw, it doesn't  have an artificial taste like most other brands. So if you choose the ginger tea, you will have a very strong natural taste to it, like a home-made adrak tea.And yes, it does come with two extra free sachets and two veryyy cute honey sachets! <3","Amongst the several other brands that I have tried, Only leaf really stands out in terms of taste, user experience, presentation, packaging, and overall branding. There is a really intense taste to the tea, it leaves a very underlying sweet taste in your mouth. The package is so cute. Even the shape of the tea bag is such that it doesn't float above the water, it sinks perfectly. I have tried a lot of flavors, each one is really natural and raw, it doesn't  have an artificial taste like most other brands. So if you choose the ginger tea, you will have a very strong natural taste to it, like a home-made adrak tea. And yes, it does come with two extra free sachets and two veryyy cute honey sachets. <3"
