,keyword,comments,polarity
0,service,Literally time waste to choose your services ,-0.2
0,service,Worst customer service ever,-1.0
0,service,"Thereâ€™s no point in connecting with your customer service.  Also, they disconnected the chat without resolution ",0.0
0,service,"Its been 20 days and i havent been provided with neither my product nor my refund. It's the worst service i have ever experienced 
I would recommend noone to use your app or your service ",-0.09999999999999998
0,service,You have improve your service. When I want scan and pay that time it's buffer I can't able make payment. You see gpay and phone pay their are very fast you can't see any difficulty. My cunser is you people send team some ware and they scan different please they will understand what is real problem when scanning please improve your service ,0.24
0,service,Many time email and customer care call than long time after may payment is refund 40 day around time so not happy this service ,0.016666666666666663
0,service,Very disappointed with TatNeu service,-0.9750000000000001
0,service,Worst service ,-1.0
0,service,"Application improvement required (application is bulky & not user friendly & response time is high compare with others , important information & services tools need improvement with detailed information table etc.
Customer service improvement required
",0.33375
0,service,My problem was solved after 25days. Very poor service ,-0.52
0,service,"Worst service about installation 
Worst job by croma",-1.0
0,service,poor customer service and not resolved immediately,-0.4
0,service,Good service but order cancel High ,0.43
0,service,I don't think your service is promising as compared to other applications. It was my first mistake I guess and i am not using it again. You are just using tata's name.,0.10833333333333334
0,service,Worst service team. never experienced. irresponsible. zero knowledge about query ,-0.7
0,service,"Worst service ever . all what we hear is ""concern team is looking into and we will get back after. 72 hours"" . no one is ready to take the responsibility and resolve the issue. Use a good Ticket system like service now else ask TCS to improvise ur CRM

Secondly kindly define word PRIORITY and flash it on your Home page cz as a brand what ur agents say is not at all PRIORITY. 

Tata neu could resolve the issue so finally i had to reach out to grievance officer to fix all my problems .

Tata neu is worst than tata cliq",-0.07142857142857144
0,service,I think you have to start referel services to more customers and also cash backðŸ’µðŸ”™ is better option to satisfy your customers. ,0.5
0,service,"Very bad service of Tata Neu 
No resolution ",-0.9099999999999998
0,service,Very very poor service both management as well as apps,-0.52
0,service,Very very worrest App Tata Neu and customer service ,0.26
0,service,"problem not resolved since last 12 days
pathetic  service ",-0.5
0,service,Worst service no proper response ,-0.5
0,service,Very poor service ,-0.52
0,service,I had requestes for a call back which I received in my number but the call got cut so i provided an alternative number to call but havnt received any call and my issue is also not solved very poor service,-0.26
0,service,Very poor quality of service if there is minus option I will surely go for it ,-0.04
0,service,Good service ,0.7
0,service,Froud service ,0.0
0,service,Need to improve your service & execution from third party ,0.0
0,service,"Very bed experience,not good customer service",0.44999999999999996
0,service,Worst service ever sir. Plz don't make fool of Ratan Tata sir name. He is legend. ,-1.0
0,service,Pathetic customer service.,-1.0
0,service,dint help at all. nothing got resolved. worst service ,-1.0
0,service,"Tata Cliq product delivery timelines, delivering the ordered product and customer service provision have problems. These need to be fixed. Out of 3 orders, I have received 3 wrong products, and customer calls were not that great either.",0.13333333333333333
0,service,Poor service.,-0.4
0,service,"Yes, I have a very bad feed for your website, application, and customer service. Your website suck in doesn't work properly and it has a very complicated procedure to place an order and track order on your website it doesn't show what size you have ordered and customer care executive is also not able to give the information about the what size I have ordered. this Is the first time I am ordering from Tata neu I hope it's not the last time.",-0.25999999999999995
0,service,"Customer care service is too bad in Tatanew. Usually, I won't trust any new application. But I trusted you because its a tata group. Now the service is worst",-0.4534090909090909
0,service,"Good customer service, executive given me immediately answers which i wanted to know. The most thing is u people actually here & then response which is the comforting factor frm a customer point. Absolutely loved it, it's new & exciting. Since it's from the Tata group it'll be more trustworthy n reliable. I went to the app, it's great. I'm impressed wid ur idea n appreciate ur efforts. Thanks service. 
For Ticket - 1475994.",0.4836363636363636
0,service,"Your query process is very slow, you take so much time to reply the query of customer. I have lodged complain regarding my croma refund but still after 2 day there is no any response or any confirmation mail  from your side. Please improve your service like Amazon.",-0.09500000000000003
0,service,"Pathetic.
Specially your customers care service and delivery partners in Lucknow.",-0.3214285714285714
0,service,Pathetic Customer service response seen in my lifetime,-1.0
0,service,Bad customer service,-0.6999999999999998
0,service,"The instore service executives at Croma Ghatkopar need to inform the customer regarding the difference in benefits of ordering through Tata Neu app prior to the purchase. even after informing the person that I use tata neu app, they did not tell me that there will be a difference in the neu points, nor did correctly update the invoice so that I can get the neupoints. I had to personally follow up and go through the process and hastle.",0.0
0,service,3rd class app and customer service. Fooling customers. Incapable customer care executives.,0.0
0,service,Your customer service sucks.,-0.3
0,service,Improve your customer service and teach your on ground staff how to talk to customers.,0.0
0,service,Overall Tata Neu is good quality service to customers and resolving issues immediately by constantly following up the issues in resolving but in bigbasket restocking the items notifications not coming to registered email to customers whenever products going out of stock in bigbasket ,0.2333333333333333
0,service,all customer executive have different opinion on same method. how can that is possible. if i asked to talk to senior executive they also dont have proper way of knowledge. this is not tata service.,0.0
0,service,Not good service,-0.35
0,service,Satisfied with the service,0.5
0,service,nice customer service,0.6
0,service,Pathetic customer service for luxury ,-1.0
0,service,I have been waiting well over a month for a number update to activate UPI registration and I am still waiting after having waited for long I have called customer service and was told that some one higher up will reachout to resolve the issue for me but till now nothing has happened effectively and I strongly believe that who ever working at Customer support is using this job as standby till they get some good job and hence the customer service is so badly performing making every  customers like me to get annoyed for choosing tata neu,0.11904761904761905
0,service,"The customer care was absolutely fine thank u for the service but the problem am facing with the product that i bought from croma am really fed how van there be issues wn u are using it for the first time  in a new product even the repair man is visiting more than twice because even he is not able to solve it , had lot of trust in croma but lost everything this is my first and worst experience in life after spending such an amount. Really wanted to promote Indian product but how is it possible when there is a lack of quality.",0.06391184573002753
0,service,Poor customer service ,-0.4
